Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Protos CO2 network phase 1,546,United Kingdom,"Peel NRE, Progressive Energy",Transport,2022,,,,Planned,1,0.8,0.8,Transport,Dedicated storage,Liverpool Bay CO2 storage,Europe
Protos CO2 network phase 2,547,United Kingdom,"Peel NRE, Progressive Energy",Transport,2022,,,,Planned,2,0.4,0.4,Transport,Dedicated storage,Liverpool Bay CO2 storage,Europe
PYCASSO hub phase 1 - eastern and western pipeline,343,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2025,2030,,Planned,1,1,1,T&S,Dedicated storage,PYCASSO hub,Europe
PYCASSO hub phase 2 - northern and cross-border pipeline,685,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2025,2035,,Planned,2,4,4,T&S,Dedicated storage,PYCASSO hub,Europe
Qatar LNG,344,Qatar,"QatarEnergy LNG, ExxonMobil",Full chain,,,2019,,Operational,,1.23 - 2.1,2.1,Natural gas processing/LNG,Dedicated storage,,Middle East
Qatar North Field East Project CCS,345,Qatar,QatarEnergy LNG,Full chain,2018,2021,2025,,Under construction,,2.9 - 4.3,4.3,Natural gas processing/LNG,Dedicated storage,,Middle East
Quad County Corn Processors Galva biorefinery (IA),346,United States,"Quad County Corn Processors, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.09 - 0.11,0.109,Biofuels,Dedicated storage,Midwest carbon express,North America
Quest (ALB),347,Canada,"Canadian Natural Resources Limited, Shell, Chevron Canada",Full chain,2009,2012,2015,,Operational,,1 - 1.2,1.1,Other fuel transformation,Dedicated storage,,North America
Ram River Carbon Sequestration Hub (ALB),510,Canada, Tidewater Midstream,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Ram River Carbon Sequestration Hub (ALB),North America
Ramba CCUS/EOR,760,Indonesia,Pertamina,Full chain,2022,,2032,,Planned,,,,Natural gas processing/LNG,EOR,,Other Asia Pacific
Ravenna CCS phase 2,349,Italy,"Eni, Snam",T&S,2020,2025,2027,,Planned,1,4,4,T&S,Dedicated storage,Ravenna CCS,Europe
Red Hills CO2 storage hub (MS),974,United States,Trifecta Renewable Solutions,Storage,2023,,,,Planned,,1.8,1.8,Storage,Dedicated storage,Red Hills CO2 storage hub (MS),North America
Red Trail Energy BECCS Project (ND),350,United States,"Plains CO2 Reduction Partnership,  Energy & Environmental Research Centre,  Red Trail Energy",Full chain,2016,2021,2022,,Operational,,0.18,0.18,Biofuels,Dedicated storage,,North America
Redcar Energy Centre EfW,351,United Kingdom,Redcar Energy (Low Carbon Ltd and PMAC Energy joint venture),Capture,2021,2024,2025,,Planned,,0.4,0.4,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Redfield Energy biorefinery (ND),352,United States,"Red River BioRefinery, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.15 - 0.17,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
Removr Carbfix plant phase 1,536,Iceland,"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",Full chain,2022,,2025,,Planned,1,0.002,0.002,DAC,Dedicated storage,,Unknown
Removr Carbfix plant phase 2,803,Iceland,"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",Full chain,2023,,2027,,Planned,2,0.098,0.098,DAC,Dedicated storage,,Europe
Returkraft Kristiansand,1113,Norway,Returkraft,Capture,2023,,2030,,Planned,,0.13,0.13,Power and heat,Dedicated storage,,Europe
Ringneck Energy & Feed Onida biorefinery (SD),355,United States,"Ringneck Energy, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.19 - 0.23,0.229,Biofuels,Dedicated storage,Midwest carbon express,North America
River Parish Sequestration (LA),878,United States,"River Parish Sequestration LLC, Blue Sky Infrastructure ",T&S,2023,,,,Planned,,5.87 - 14,14,T&S,Dedicated storage,River Paris Sequestration (LA),North America
Rockpoint and Inter Pipeline Carbon Sequestration Hub,635,Canada,Inter Pipeline and Rockpoint Gas Storage,T&S,2022,,,,Planned,,6,6,T&S,Dedicated storage,Rockpoint and Inter Pipeline Carbon Sequestration Hub,North America
Rocky Mountain Carbon Vault (ALB),511,Canada, Vault 44.01 Ltd.,Storage,2022,,2027,,Planned,,,,Storage,Dedicated storage,Rocky Mountain Carbon Vault (ALB),North America
Rohm chemical plant (x2),624,Germany,"Rohm, Aker CC",CCU,2023,,,,Planned,,0.5,0.5,Chemicals,Use,,Europe
Rolling Hills Carbon Sequestration Hub (ALB),512,Canada, AltaGas Ltd. and Whitecap Resources Inc.,Storage,2022,,2026,,Planned,,5,5,Storage,Dedicated storage,Rolling Hills Carbon Sequestration Hub (ALB),North America
Roughrider Carbon Storage Hub (ND),719,United States,"University of North Dakota, ONEOK, EERC",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Roughrider Carbon Storage Hub (ND),North America
Rumah1 and Rumah 2 plants,1015,Saudi Arabia,SPPC,Capture,2024,,,,Planned,,,2.861,Power and heat,Unknown/unspecified,,Middle East
Russel CO2 storage complex (KS),897,United States,Purefield Carbon Capture LLC (Purefield ingredients),Full Chain,2020,,,,Planned,,1,1,Other industry,Dedicated storage,,North America
RWE Amer power plant,681,Netherlands,RWE,Capture,2022,,2032,,Planned,,5.5 - 7,7,Power and heat,Dedicated storage,Noorkaap,Europe
RWE CCGT Stallingborough,804,United Kingdom,"RWE, Technip Energies (pre-FEED)",Capture,2023,,,,Planned,,1.87,1.87,Power and heat,Dedicated storage,Viking CCS,Europe
RWE CCGT Stallingborough,1147,United Kingdom,RWE,Capture,2024,,,,Planned,,0.6,0.6,Power and heat,Dedicated storage,,Europe
RWE CCGT Staythorpe (+ another new build?),706,United Kingdom,RWE,Capture,2022,,,,Planned,,3.979,3.979,Power and heat,Dedicated storage,Viking CCS,Europe
RWE Eemshaven power plant,680,Netherlands,RWE,Capture,2022,,2030,,Planned,,5.5 - 7,7,Power and heat,Dedicated storage,Noorkaap,Europe
Sailboat Green Methanol plant Shengong petrochemical (Jiangsu),233,People's Republic of China," Jiangsu Sailboat Petrochemicals, Carbon Recycling International",CCU,2021,,,,Planned,,0.15 - 0.16,0.16,Chemicals,Use,,Other Asia Pacific
Saint-Gobain glass,1109,United Kingdom,Saint-gobain glass,Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,Northern Endurance Partnership,Europe
Saint-Pierre-la-Cour cement plant,1116,France,Lafarge France (Holcim group),Capture,2023,2027,2030,,Planned,,1,1,Cement,Dedicated storage,GoCO2,Europe
San Joaquin Renewables BCCS (CA),890,United States,Pelican Renewables LLC ,Storage,2021,2025,,,Planned,,0.44,0.44,Storage,Dedicated storage,,North America
San Juan Basin CarbonSAFE (NM),964,United States,New Mexico Institute of Mining and Technology,Storage,2019,,2025,,Planned,,,,Storage,Dedicated storage,San Juan Basin CarbonSAFE (NM),North America
Santos Bonaparte Basin storage,524,Australia,"Santos Offshore Pty Ltd (40% and Operator), Chevron Australia Pty Ltd (30%) and SK E&S (30%) ",Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Santos Bonaparte Basin storage,Australia and New Zealand
Santos Carnavon Basin storage (Reindeer CCS),523,Australia,Santos Offshore Pty Ltd (50% and Operator) and Chevron Australia Pty Ltd (50%),Storage,2022,2025,2028,,Planned,,4 - 5,5,Storage,Dedicated storage,Santos Carnavon Basin storage (Reindeer CCS),Australia and New Zealand
Seal Sands TGEPL,1108,United Kingdom,solar 21 Renewable Energy Limited,Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
SEDAC hub (AL) phase 1,1067,United States,"Southern States Energy Board, AirCapture, 8Rivers",Capture,2023,,,,Planned,1,0.05,0.05,DAC,Unknown/unspecified,,North America
SEDAC hub (AL) phase 2,1068,United States,"Southern States Energy Board, AirCapture, 8Rivers",Capture,2023,,,,Planned,2,0.45,0.45,DAC,Unknown/unspecified,,North America
Setouchi / Shikoku CO2 Hub Concept (capture sources under evaluation),1014,Japan-Australia,"Woodside Energy with Sumitomo Corporation, JFE Steel Corporation, Sumitomo Osaka Cement Co. Ltd and Kawasaki Kisen Kaisha, Ltd.",Transport,2023,,,,Planned,,,,Transport,Dedicated storage,,Other Asia Pacific - Australia and New Zealand
Shah gas plant (Abu Dhabi CCS Phase 2),6,United Arab Emirates,ADNOC,Full chain,2020,,2030,,Planned,,2.3,2.3,Natural gas processing/LNG,EOR,,Middle East
Shand,1117,Canada,Saskpower,Capture,2018,,,,Planned,,2,2,Power and heat,EOR,,North America
Sharjah Hub ,906,United Arab Emirates,"Sharjah National Oil Corporation (SNOC), Sumitomo Middle East ",T&S,2023,,,,Planned,,,,T&S,Dedicated storage,Sharjah Hub ,Middle East
Shell Deer Park Chemical complex (TX),702,United States,Wood Environment & Infrastructure Solutions,Capture,2021,,,,Planned,,,,Chemicals,Unknown/unspecified,,North America
Shell Netherlands Refineries biodiesel,364,Netherlands,Shell,Capture,2021,2021,2026,,Under construction,,0.38,0.38,Biofuels,Dedicated storage,Porthos,Europe
Shell Netherlands Refineries heavy residue gasification CCS,365,Netherlands,Shell,Capture,2021,,2026,,Under construction,,0.75,0.75,Other fuel transformation,Dedicated storage,Porthos,Europe
Shell Netherlands Refineries heavy residue gasification CCU,365,Netherlands,Shell,CCU,,,1997,2026,Operational,,0.75,0.75,Other fuel transformation,Use,,Europe
Shell Uniper Humber Hub Blue North Killingholme,366,United Kingdom,"Shell, Uniper",Capture,2022,2024,2027,,Planned,,1.6,1.6,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
Shepard Energy Centre (SEC) (ALB),611,Canada,Enmax Energy Corporation,Capture,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
Sinopec Nanjing Chemical Industries CCUS Cooperation Project (Jiangsu),369,People's Republic of China,Sinopec,Full chain,2015,,2021,,Operational,,0.2,0.2,Chemicals,EOR,Jiangsu oilfield,Other Asia Pacific
Sinopec Qilu Petrochemical Shengli (Shandong),370,People's Republic of China,"Sinopec, Qilu Petrochemical",Full chain,2012,2021,2022,,Operational,,0.7 - 1,1,Chemicals,EOR,Shengli oilfield,Other Asia Pacific
Sinopec Shengli Power Plant CCS (Shandong),371,People's Republic of China,Sinopec,Full chain,2011,,2030,,Planned,,1 - 2,2,Power and heat,EOR,Shengli oilfield,Other Asia Pacific
Siouxland Energy Cooperative Sioux Center biorefinery (IA),372,United States,"Siouxland Energy Cooperative, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.16 - 0.19,0.186,Biofuels,Dedicated storage,Midwest carbon express,North America
Sizewell C nuclear-powered DAC Full-scale,440,United Kingdom,"Sizewell C,  Nottingham University, Strata Technology, Atkins and Doosan Babcock",Capture,2022,,2030,,Planned,1,0.05,0.05,DAC,Dedicated storage,,Europe
SK E&S Honeywell gas power plant,919,South Korea,"Honeywell, SK E&S ",Capture,2023,,,,Planned,,,,Power and heat,Unknown/unspecified,,Other Asia Pacific
Sleipner,374,Norway,"Equinor, Eni",Full chain,1991,,1996,,Operational,,1,1,Natural gas processing/LNG,Dedicated storage,,Europe
Snohvit CO2 capture and storage,375,Norway,"Equinor, Petoro, TotalEnergies, Eni (following acquisition of Neptune Energy), Wintershall",Full chain,2002,2002,2008,,Operational,,0.7,0.7,Natural gas processing/LNG,Dedicated storage,,Europe
Soderenergi Igelsta plant,51,Sweden,"Soderenergi, Aker CC (feasibility) (first feasibility by biorecro)",Capture,2020,2026,2030,,Planned,,0.5,0.5,Power and heat,Dedicated storage,,Europe
South East Australia carbon capture and storage (SEA CCS) hub,376,Australia,"Esso Australia Resources Pty Ltd (ExxonMobil), BHP Petroleum Pty Ltd ",T&S,2022,,2025,,Planned,,0.5 - 2,2,T&S,Dedicated storage,Sea CCS hub,Australia and New Zealand
South Texas DAC Hub (TX),474,United States,"1PointFive, Oxy low carbon ventures (Occidental)",Full chain,2022,,,,Planned,1,1,1,DAC,Dedicated storage,South Texas DAC Hub,North America
South West Blue Hydrogen,377,Australia,Pilot Energy,Capture,2021,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,South West Hub Project,Australia and New Zealand
South West Hub Project,378,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",Storage,2010,,,,Planned,,0.8,0.8,Storage,Dedicated storage,South West Hub Project,Australia and New Zealand
Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn) (SK),574,Canada,Whitecap Resources Inc.,T&S,2021,2024,2025,,Planned,2,1.2 - 3,3,T&S,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Southeastern Illinois Basin CarbonSAFE (KT),960,United States,Battelle Memorial Institute,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Southeastern Illinois Basin CarbonSAFE (KT),North America
Stade facility Green Methanol,1045,Germany,Dow,CCU,2019,,,,Planned,,,0.274,Chemicals,Use,,Europe
Stakraft Varme Trondheim,1112,Norway,Statkraft Varme,Capture,2023,,2030,,Planned,,0.24,0.24,Power and heat,Dedicated storage,Northern Lights,Europe
Stenlille project (CO2RYLUS),786,Denmark,Gas Storage Denmark,Storage,2022,,2026,,Planned,,0.5,0.5,Storage,Dedicated storage,,Europe
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),380,Sweden,"Stockolm Exergi, CO2 Capsol (FEED)",Capture,2021,2024,2026,,Planned,,0.8,0.8,Power and heat,Dedicated storage,,Europe
STRATOS (Ector County) (TX),115,United States,"1PointFive, Oxy low carbon ventures (Occidental), Blackrock",Full chain,2019,2022,2025,,Under construction,1,0.5,0.5,DAC,Mixed,,North America
Structure A&E,622,Lybia,"Eni, National Oil Corporation (NOC) Libya",Full chain,2023,,2027,,Planned,,1.6,1.6,Natural gas processing/LNG,Dedicated storage,,Africa
Stryde CO2 storage assessment Brazil,837,Brazil,"Stryde, bioethanol producers (XX)",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,,Central and South America
Suek Blue Ammonia Borodinsky,383,Russia,"Agency for Economic Development of the Leningrad Region, Suek",Full chain,2021,,2027,,Planned,,,,Hydrogen or ammonia,EOR,,Eurasia
Suez Tees Valley / Haverton Hill Waste to Energy CCS,384,United Kingdom,Suez,Capture,2020,2025,2027,,Planned,,0.24,0.24,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Sukowati CO2-EOR (Jambaran Tiung Biru gas processing),230,Indonesia,"Pertamina, Lemigas, JAPEX (supported by METI), JOGMEC",Full chain,2020,2024,2025,,Planned,,0.47 - 0.93,0.93,Natural gas processing/LNG,EOR,,Other Asia Pacific
Suncor Edmonton Refinery - Fluid Catalytic Cracker Capture (ALB),610,Canada,"Suncor, Svante",Capture,2022,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,North America
Sunda Asri Basin CCUS hub,762,Indonesia,"Pertamina, ExxonMobil ",Storage,2022,,2030,,Planned,,,,Storage,Dedicated storage,Sunda Asri Basin CCUS hub,Other Asia Pacific
Sundsvall Korsta plant CCS,989,Sweden,"Liquid Wind, Sundsvall Energi",Capture,2023,2024,2026,,Planned,2,,0.063,Power and heat,Dedicated storage,,Europe
Susitna Power Plant (AK),977,United States,The Commonwealth of Virginia DoE (Big Stone Gap),Capture,2023,,,,Planned,,,,Power and heat,Dedicated storage,Alaska Railbelt CCS Project (AK),North America
Sustainable Fuels Group - CIP blue ammonia plant,827,United States,"Sustainable Fuels Group, Copenhagen Infrastructure Partners (CIP) ",Capture,2023,,2027,,Planned,,,2.4,Hydrogen or ammonia,Unknown/unspecified,,North America
Sutter Decarbonization Project (CA),716,United States,"Gas Technology Institute, Calpine, 1pointfive (storage)",T&S,2023,2024,2028,,Planned,,1.8,1.8,T&S,Dedicated storage,Sutter Decarbonization Project (CA),North America
Svante capture Linde SMR plant (TX) ,261,United States,BP,Capture,2021,,2026,,Planned,,1.1,1.1,Hydrogen or ammonia,Dedicated storage,,North America
Sweetwater Carbon Storage Hub (WY),797,United States,"University of Wyoming, Frontier Carbon Solutions Holdings LLC ",Storage,2023,,,,Planned,,1.27,1.27,Storage,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
TA’ZIZ blue ammonia,387,United Arab Emirates,"ADNOC, TA'ZIZ, Fertiglobe, Mitsui, GS Energy",Full chain,2020,2024,2025,,Planned,,,1.658,Hydrogen or ammonia,Unknown/unspecified,,Middle East
Taiwan Cement Hoping oxyfuel pilot,1076,Taiwan,"Taiwan cement, Thyssenkrupp Polysius",Capture,2024,,2026,,Planned,,0.1,0.1,Cement,Unknown/unspecified,,Other Asia Pacific
Taiwan Cement Hoping/Heping plant,494,Taiwan,Taiwan cement,CCU,2019,,2030,,Planned,1,0.1,0.1,Cement,Use,,Other Asia Pacific
Tambak Lorok Gas-Fired Power Plant,998,Indonesia,"JERA, JGC Holdings, PLN",Full Chain,2023,,,,Planned,,,,Power and heat,Unknown/unspecified,,Other Asia Pacific
Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),1011,United States,"Overseas Shipholding Group, Inc.",Transport,2023,,,,Planned,,2,2,Transport,Unknown/unspecified,Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),North America
Tangguh CCUS hub,860,Indonesia,BP,Storage,2023,,,,Planned,2,,,Storage,Dedicated storage,Tangguh CCUS hub,Other Asia Pacific
Tangguh LNG EGR,388,Indonesia,"BP (Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC), ITB",Full chain,2021,2024,2027,,Planned,1,2.5 - 3.3,3.3,Natural gas processing/LNG,EOR,Tangguh CCUS hub,Other Asia Pacific
Tarastenjärvi power (Tampere),1028,Finland,"RenGas, Tampereen Energia",CCU,2021,2024,2026,,Planned,,0.11,0.11,Power and heat,Use,,Europe
Tees Valley Energy Recovery Facility (TVERF),639,United Kingdom,Hartlepool Borough Council (leading partnership with 6 other councils),Capture,2022,,2026,,Planned,,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Terrell Natural Gas Processing Plant (former Val Verde) (TX),389,United States,"Blue Source, Occidental (Oxy), Chevron",Full chain,,,1972,,Operational,,0.4 - 0.5,0.5,Natural gas processing/LNG,EOR,,North America
Tharaldson Ethanol Casselton biorefinery (ND),390,United States,"Tharaldson Ethanol, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.43 - 0.5,0.501,Biofuels,Dedicated storage,Midwest carbon express,North America
The Bluestreak CO2 Joint Venture,907,United Kingdom,"Navigator Holdings (50%), Bumi Armada Berhad (50%) ",T&S,2023,,,,Planned,,30,30,T&S,Dedicated storage,,Europe
The ZEROS project Chambers & Liberty County (Jefferson) (TX),391,United States,Texas Water Resources Institute,Capture,2019,,2024,,Planned,,1.5,1.5,Power and heat,EOR,,North America
Thorning storage,1069,Denmark,Unknown partners,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,,Europe
Timberland Sequestration project (AL),795,United States,"Timberlands Sequestration LLC, Alabama River Cellulose (ARC), Georgia Pacific LLC",Full chain,2023,,,,Planned,,2,2,Other industry,Dedicated storage,Timberland Sequestration project,North America
Tohoku Region West Coast CCS,666,Japan,"ITOCHU, ITOCHU Oil exploration  Mitsubishi HI, INPEX, Taisei",T&S,2023,,2030,,Planned,,2,2,T&S,Dedicated storage,Tohoku Region West Coast CCS,Other Asia Pacific
Tohoku Region West Coast CCS - Nippon Steel,937,Japan,Nippon Steel,Capture,2023,,2030,,Planned,,,,Iron and steel,Dedicated storage,Tohoku Region West Coast CCS,Other Asia Pacific
Tohoku Region West Coast CCS - Taiheiyo Cement ,938,Japan,Taiheiyo Cement Corporation,Capture,2023,,2030,,Planned,,,,Cement,Dedicated storage,Tohoku Region West Coast CCS,Other Asia Pacific
Tomakomai area CCS,667,Japan,"Idemitsu, Hokkaido Electric Power, JAPEX",T&S,2023,,2030,,Planned,,1.5,1.5,T&S,Dedicated storage,Tomakomai area CCS,Other Asia Pacific
Tomakomai area CCS - Hokkaido Electric Tomatouatsuma power station,1091,Japan,Hokkaido Electric Power,Capture,2023,,2030,,Planned,,,,Power and heat,Dedicated storage,Tomakomai area CCS,Other Asia Pacific
Tomakomai area CCS - Idemitsu Kosan Hokkaido Refinery,1092,Japan,Idemitsu,Capture,2023,,2030,,Planned,,,,Other fuel transformation,Dedicated storage,Tomakomai area CCS,Other Asia Pacific
Tourmaline Clearwater CCUS (ALB),514,Canada, Tourmaline Oil Corp.,Storage,2022,,,,Planned,,10,10,Storage,Dedicated storage,Tourmaline Clearwater CCUS (ALB),North America
Tracy DAC facility,985,United States,"Heirloom, CarbonCure",CCU,2021,,2023,,Operational,,0.001,0.001,DAC,Use,,North America
Trailblazer CO2 pipeline,769,United States,Tallgrass energy,Transport,2022,,,,Planned,,10,10,Transport,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
"Tri-state project (WV, OH, PA)",983,United States,Southern States Energy Board,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,"Tri-state project (WV, OH, PA)",North America
Trudvang storage project (EXL007),710,Norway,"Eni (following acquisition of Neptune Energy)  (30%), Sval (40% op), Storegga (30%)",Storage,2023,2027,2029,,Planned,,5 - 10,10,Storage,Dedicated storage,Trudvang storage project,Europe
Tulare County Carbon Storage Project (CA),713,United States,Advanced Resources International Inc.,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Tulare County Carbon Storage Project (CA),North America
Tumbler Ridge blue methanol project (BC),1037,Canada,"RH2C, CMC and West Moberly First Nations",Capture,2015,,2028,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
Tumbler Ridge e-methanol project (BC),1036,Canada,"RH2C, CMC and West Moberly First Nations",CCU,2015,,2028,,Planned,,,0.233,Other industry,Use,,North America
Twence Hengelo facility,394,Netherlands,"Twence, Aker CC (tech)",CCU,2019,2021,2024,,Under construction,,0.1,0.1,Power and heat,Use,,Europe
UK Poseidon CCS project phase 1,845,United Kingdom,"Prenco UK (operator), Carbon Catalyst Ltd, Wintershall dea (10% of carbon catalyst license)",Storage,2023,2026,2029,,Planned,1,1.5,1.5,Storage,Dedicated storage,UKCS Poseidon CCS project,Europe
UK Poseidon CCS project phase 2,846,United Kingdom,"Prenco UK (operator), Carbon Catalyst Ltd, Wintershall dea (10% of carbon catalyst license)",Storage,2023,2026,2030,,Planned,2,8.5,8.5,Storage,Dedicated storage,UKCS Poseidon CCS project,Europe
UK Poseidon CCS project phase 2,847,United Kingdom,"Prenco UK (operator), Carbon Catalyst Ltd, Wintershall dea (10% of carbon catalyst license)",Storage,2023,2026,2040,,Planned,3,30,30,Storage,Dedicated storage,UKCS Poseidon CCS project,Europe
Umea Dava plant CCS,991,Sweden,"Liquid Wind, Umea Energi",Capture,2023,2024,2026,,Planned,2,,0.094,Power and heat,Dedicated storage,,Europe
Unita Basin Carbon SAFE (UT),720,United States,University of Utah,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Unita Basin Carbon SAFE (UT),North America
Uthmaniyah CO2-EOR demonstration,395,Saudi Arabia,Saudi Aramco,Full chain,2013,2013,2015,,Operational,,0.8,0.8,Natural gas processing/LNG,Mixed,,Middle East
Valero Port Arthur Refinery (TX),323,United States,"Air products, ExxonMobil (formerly Denbury carbon solutions)",Full chain,2009,2011,2013,,Operational,,0.9,0.9,Other fuel transformation,EOR,,North America
Vattenfall Jordbro CHP plant,1101,Sweden,"Vattenfall, Aker CC",Capture,2023,,,,Planned,,0.4,0.4,Power and heat,Unknown/unspecified,,Europe
Växjö Energi CHP CCS Sandviksverket,396,Sweden,Växjö Energi ,Capture,2021,,2027,,Planned,,0.18,0.18,Power and heat,Dedicated storage,,Europe
Velocys Bayou Fuels (MS),397,United States,"Velocys, Oxy low carbon ventures (Occidental) (Storage contract), Bechtel (FEED)",Capture,2019,,2026,,Planned,,0.3 - 0.5,0.5,Biofuels,EOR,Livingston Parish CO2 sequestration hub (LA),North America
Venture Global CCS Cameron (LA),1048,United States,Venture Global,T&S,2021,,,,Planned,,1,1,T&S,Dedicated storage,Venture Global CCS Cameron (LA),North America
Venture Global LNG Calcasieu Pass CCS (LA),398,United States,Venture Global,Capture,2021,,,,Planned,,0.5,0.5,Natural gas processing/LNG,Unknown/unspecified,Venture Global CCS Cameron (LA),North America
Venture Global LNG CP2 liquefaction facility CCS (LA),399,United States,Venture Global,Capture,2021,,,,Planned,,0.5,0.5,Natural gas processing/LNG,Dedicated storage,Venture Global CCS Cameron (LA),North America
Venture Global LNG Plaquemines CCS (LA),400,United States,Venture Global,Capture,2021,,,,Planned,,,,Natural gas processing/LNG,Unknown/unspecified,Venture Global CCS Cameron (LA),North America
Veolia EfW to fuels,1090,United Kingdom,Veolia,CCU,2024,,2030,,Planned,,,,Power and heat,Use,,Europe
Vestforbrænding's Ejby incineration plant,401,Denmark,"Vestforbrænding, Technip (FEED)",Capture,2019,,2026,,Planned,,0.45,0.45,Power and heat,Dedicated storage,,Europe
Vicksburg Containerboard Mill (MS),1073,United States,"RTI International, IP, SLB, Amazon",Capture,2024,,,,Planned,,0.12,0.12,Other industry,Unknown/unspecified,,North America
Viking CCS Phase 1,403,United Kingdom,"Harbour Energy (60% operator), BP (40%), kent (engineering provider), Technip energies (FEED transport)",T&S,2020,2024,2027,,Planned,1,3.6,3.6,T&S,Dedicated storage,Viking CCS,Europe
Viking CCS Phase 2,404,United Kingdom,"Harbour Energy (operator), BP (40%), Technip energies (FEED transport)",T&S,2020,,2030,,Planned,2,6.4,6.4,T&S,Dedicated storage,Viking CCS,Europe
Viking CCS Phase 3,705,United Kingdom,"Harbour Energy (operator), BP (40%), Technip energies (FEED transport)",T&S,2020,,2035,,Planned,3,5,5,T&S,Dedicated storage,Viking CCS,Europe
Virginia CarbonSafe storage (VA),971,United States,The Commonwealth of Virginia DoE (Big Stone Gap),Storage,2023,,,,Planned,,4,4,Storage,Dedicated storage,Virginia CarbonSafe storage (VA),North America
Virgo (LA),885,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2026,,Planned,,5 - 10,5,Storage,Unknown/unspecified,,North America
Viridor Runcorn CCS project,402,United Kingdom,"Viridor, Aker CC (tech/pre FEED), Cowi (pre-FEED)",Capture,2021,2024,2025,,Planned,,0.9,0.9,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
VISION 2025,820,Greece,HELLENiQ ENERGY - Helpe,Capture,2021,,2030,,Planned,,0.6,0.6,Other fuel transformation,Unknown/unspecified,,Europe
Voestalpine hot briquetted iron plant Portland (TX),549,United States,"Board of Trustees of the University of Illinois, Voestalpine, Air Liquide",Capture,2022,,,,Planned,,,,Iron and steel,Dedicated storage,,North America
VPI Immingham CHP plant CCS,405,United Kingdom,VPI Immingham (Vitol),Capture,2019,,2027,,Planned,,3,3,Power and heat,Dedicated storage,Viking CCS,Europe
Wabash Valley Resources/Wabash CarbonSAFE (IN),406,United States,"Wabash Valley Resources, Wabash Carbon services, University of Illinois, Illinois State Geological Survey (CarbonSAFE)",Full chain,2016,,2024,,Planned,,1.65,1.65,Hydrogen or ammonia,Dedicated storage,Wabash CarbonSAFE (IN),North America
WAH2 Blue  Ammonia Project - phase 1,789,Australia,Hexagon Energy Materials ,Capture,2022,2024,2028,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
WAH2 Blue  Ammonia Project - phase 2,790,Australia,Hexagon Energy Materials ,Capture,2022,,,,Planned,2,,,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
